RX8SPEEDT,Mazda RX-8 Mazdaspeed (SE3P),229,784,717,870,512,848,856,834,402,540,524,529,9000,45,45,225,225,18,18,3.564,0,3.76,2.269,1.539,1.187,1,0.843,0,0,0.6,0,5.43
RX82004,Mazda RX-8 (SE3P),229,784,717,870,512,848,856,834,402,540,524,529,9000,45,45,225,225,18,18,3.564,0,3.76,2.269,1.539,1.187,1,0.843,0,0,0.6,0,5.43
ATOM500,Ariel Atom 500 V8,500,700,675,725,850,900,950,925,915,1150,1125,1100,10500,50,45,205,245,15,16,2.9,0,2.69,2.01,1.59,1.32,1.13,1,0,0,0.9,0,4.505
PUNTO,Fiat Grande Punto (Type 199),90,575,550,600,56,658,708,683,220,505,480,455,6300,65,65,185,185,15,15,2.8,0,3.909,2.158,1.48,1.121,0.921,0.766,0,0.5,0,0,5.4
UNO,Fiat Uno (Type 146),40,499,474,524,20,638,718,653,183,596,541,556,6400,70,70,165,165,13,13,3,0,3.82,2.26,1.64,1.18,1,0,0,0.5,0,0,4.22
MEGANE98,Renault Mégane Coupé 1.6e,115,555,530,580,60,660,710,685,252,585,560,535,6000,65,65,175,175,14,14,3.2,0,3.73,2.05,1.32,0.97,0.79,0,0,0.5,0,0,4.52
MEGANEMAXI,Renault Sport Mégane Maxi,420,700,675,725,480,860,910,885,523,774,749,724,8000,50,50,205,205,18,18,3,0,2.933,2.35,1.866,1.578,1.38,1.217,1.075,0.85,0,0,3.639
WUGGIE,Boo-St WUGGIE,3,3,3,3,3,3,3,3,3,3,3,3,6700,45,45,215,215,18,18,2.8,0,3.8,2.17,1.535,1.171,0.97,0.81,0,0.8,0.5,0.5,1.5
TT,Audi TT 3.2 quattro (8N),344,672,680,698,386,680,650,670,358,610,621,607,6500,45,45,255,255,18,18,3,0,3.636,2.15,1.525,1.175,0.96,0.8,0,0,0.8,0,4.3
XSARA,Citroën Xsara Coupé,296,620,570,670,148,700,800,750,250,540,490,440,7000,55,55,195,195,15,15,3.33,0,2.92,1.87,1.28,0.95,0.74,0,0,0.6,0,0,4.73
MEGANE,Renault Mégane Coupé TCe 180,300,625,600,650,180,727,777,752,215,480,455,430,6000,45,45,225,225,17,17,2.8,0,3.91,2.11,1.48,1.1,0.9,0.71,0,0.8,0,0,4.475
IMPREZA22BSTI,Subaru Impreza 22B STi,392,700,675,725,480,865,915,890,346,600,575,550,8000,40,40,235,235,17,17,3,0,3.545,2.111,1.448,1.088,0.971,0,0,0.5,0.5,0,3.875
FF,Ferrari FF (F151),740,953,848,1024,834,910,1158,964,490,726,583,601,8000,35,35,245,295,20,20,2.75,0,3.4,2.19,1.63,1.29,1.03,0.84,0.71,0,0.75,0,4.3
F355,Ferrari F355 Berlinetta (F129),580,866,761,937,569,870,1118,924,396,686,543,561,8500,40,40,225,265,18,18,3,0,3.82,2.26,1.6,1.25,1,0.88,0,0,0.75,0,4.12
CIVICHB,Honda Civic CX (EJ6),160,477,452,502,40,700,750,725,275,674,649,624,6800,70,70,175,175,13,13,1.957,0,3.25,1.782,1.172,0.909,0.702,0,0,0.7,0,0,5.51
KUSABI,Mazda Kusabi Concept,280,620,580,660,170,635,715,675,298,560,520,480,6500,50,50,205,205,17,17,3,0,3.82,2.26,1.64,1.18,1,0.83,0,0.55,0,0,4.265
240ZW100,Nissan Fairlady 240ZG (S30) (E),220,621,596,646,264,700,750,725,348,575,550,525,6000,70,70,195,195,14,14,2.8,0,3.32,1.902,1.308,1,0.75,0,0,0,0.65,0,4.61
INTEGRALS,Acura Integra LS (DC2),351,747,751,819,549,774,885,887,304,520,447,432,8000,40,40,285,335,18,18,2.625,0,3.75,2.36,1.685,1.312,1.07,0.85,0,0.85,0.85,0,4.81
XSARAWRC,Citroën Xsara WRC,280,650,600,700,600,820,920,870,476,780,730,680,6500,65,65,205,205,18,18,2.538,0,3.083,2.357,1.867,1.526,1.278,1.087,0,0.5,0.5,0,3.7
IMPREZAWRX,Subaru Impreza WRX STI (GDB-D),430,594,612,637,480,960,837,876,366,671,742,663,7000,45,45,225,225,17,17,3,0,3.636,2.15,1.525,1.175,0.96,0.8,0,0.5,0.5,0,4.1
CORVETTE,Chevrolet Corvette (C6),672,910,805,981,737,880,1128,934,508,712,569,587,7000,35,30,275,325,18,19,2.7,0,3.06,1.83,1.29,1.05,0.86,0.73,0,0,0.75,0,3.845
REGALCUP,Buick Regal Cup,768,1000,895,1071,800,945,1193,999,470,713,570,588,8000,54,54,300,300,15,15,2.8,0,2.921,1.568,1,0.705,0,0,0,0,0.5,0,4.4
